,법정동코드,평당가(만원)
204,11320107,6.286865148861646
205,11320108,5.902625
206,11350102,5.993665254237289
207,11350103,7.124374393792434
208,11350104,5.408225255972696
209,11350105,5.186308871851041
210,11350106,2.888938053097345
211,11380101,2.8033333333333332
212,11380102,6.5300636942675165
213,11380103,5.857685589519651
214,11380104,5.957385892116183
215,11380105,5.619502262443439
216,11380106,7.73729292929293
217,11380107,5.834729194187583
218,11380108,6.3845232273838635
219,11380109,5.785198412698413
220,11380110,7.377611940298507
221,11380114,7.884198396793588
222,11410101,6.963770491803279
223,11410102,6.6020625
224,11410103,7.37
225,11410104,4.555
226,11410105,5.427931034482759
227,11410106,6.498947368421053
228,11410107,6.706153846153847
229,11410108,6.3525
230,11410109,1.2503125
231,11410110,6.223269230769231
232,11410111,4.858812949640288
233,11410112,13.23274472168906
234,11410113,7.886216216216217
235,11410114,8.334117647058823
236,11410115,7.331428571428572
237,11410116,8.740628078817734
238,11410117,8.09476143141153
239,11410118,6.079116022099448
240,11410119,6.676512820512821
241,11410120,6.519081632653061
242,11440101,8.293548387096774
243,11440102,7.994512195121951
244,11440103,9.191490196078432
245,11440104,6.905540540540541
246,11440105,7.286595744680851
247,11440106,4.38
248,11440107,8.558653846153847
249,11440108,8.906431372549019
250,11440109,7.297881040892194
251,11440110,9.38045584045584
252,11440111,7.831083916083916
253,11440112,5.35
254,11440113,7.104285714285715
255,11440114,7.578871595330739
256,11440115,7.386256157635469
257,11440116,4.043333333333333
258,11440117,4.356923076923077
259,11440118,5.366666666666667
260,11440120,7.849028871391076
261,11440121,7.87515923566879
262,11440122,8.359963503649636
263,11440123,7.2602314814814815
264,11440124,7.928433333333334
265,11440125,9.286187050359713
266,11440126,7.106808510638298
267,11440127,9.478598574821852
268,11470101,4.85203744493392
269,11470102,7.597395411605938
270,11470103,4.283478260869566
271,11500101,7.6061126760563385
272,11500102,7.328732572877059
273,11500103,6.910038038884193
274,11500104,6.7365720081135905
275,11500105,8.689614597544338
276,11500106,6.794971098265896
277,11500107,5.29
278,11500108,6.543311258278146
279,11500109,6.011539440203562
280,11500110,5.38
281,11530101,8.793435582822086
282,11530102,6.633875968992248
283,11530103,7.074817927170868
284,11530106,5.571189801699717
285,11530107,4.9590887850467285
286,11530108,5.433379844961241
287,11530109,4.621186440677966
288,11530110,5.464615384615385
289,11530111,1.1906280193236716
290,11530112,2.0
291,11545101,8.894924242424242
292,11545102,5.88088768115942
293,11545103,5.310877598152425
294,11560101,5.898288288288288
295,11560102,9.888846153846155
296,11560103,9.33457777777778
297,11560104,10.39324074074074
298,11560105,9.93438202247191
299,11560106,7.378888888888889
300,11560107,7.159411764705882
301,11560108,7.65861111111111
302,11560109,9.31493670886076
303,11560110,10.847518796992482
304,11560111,6.767439024390243
305,11560112,6.481285714285714
306,11560113,9.156307692307692
307,11560114,7.787543859649123
308,11560115,9.66979381443299
309,11560116,8.902132352941177
310,11560117,7.664375
311,11560118,5.6933060109289615
312,11560120,7.96
313,11560121,4.735
314,11560123,6.022826086956522
315,11560124,9.2225
316,11560125,8.008095238095237
317,11560126,8.440738255033558
318,11560127,7.917205882352941
319,11560128,7.826335877862595
320,11560129,8.750714285714286
321,11560130,8.945833333333333
322,11560132,6.353868312757202
323,11560133,6.3052915766738655
324,11590101,8.998913824057452
325,11590102,6.7904121779859485
326,11590103,8.303143254520167
327,11590104,5.501860465116279
328,11590105,8.212352941176471
329,11590107,6.941058601134216
330,11590108,7.288128415300546
331,11590109,6.557300469483568
332,11620101,6.721870372957118
333,11620102,7.065541745869279
334,11620103,7.807433808553971
335,11650101,7.784300100704935
336,11650102,6.681425000000001
337,11650103,8.380456852791879
338,11650106,7.965681818181818
339,11650107,7.792667844522968
340,11650108,10.064430051813472
341,11650109,6.2250000000000005
342,11650110,6.032
343,11650111,6.25150442477876
344,11680101,10.21645033860045
345,11680103,7.3849484536082475
346,11680104,10.254822134387352
347,11680105,8.679931818181819
348,11680106,8.442527624309392
349,11680107,8.386108949416343
350,11680108,8.7545031905196
351,11680110,9.0
352,11680111,9.667391304347825
353,11680112,8.539113924050632
354,11680113,5.228461538461539
355,11680114,6.959067796610169
356,11680115,7.529285714285714
357,11680118,8.164097744360902
358,11710101,7.604212548015365
359,11710102,5.6000000000000005
360,11710103,5.846061776061776
361,11710104,7.656246819338423
362,11710105,7.914132055378062
363,11710106,6.80407268170426
364,11710107,7.2946804835924
365,11710108,9.788058111380145
366,11710111,9.944471959213402
367,11710112,6.082916666666667
368,11710113,5.774018987341772
369,11710114,3.6419520547945208
370,11740101,8.768855585831062
371,11740102,5.429401709401709
372,11740103,3.194890965732087
373,11740105,8.217534626038782
374,11740106,5.86656976744186
375,11740107,5.915752066115703
376,11740108,6.542135746606335
377,11740109,7.064926430517711
378,11740110,4.581166253101737
