,법정동코드,평당가(만원)
99,11170134,3.214166666666667
100,11170136,3.7696899224806204
101,11200101,1.23
102,11200102,4.056885245901639
103,11200103,4.172727272727273
104,11200104,4.5152
105,11200105,3.2034591194968556
106,11200106,4.639722222222222
107,11200107,3.983304347826087
108,11200108,2.2590909090909093
109,11200109,2.9339285714285714
110,11200110,3.489310344827586
111,11200111,3.1045000000000003
112,11200112,3.9325
113,11200113,3.1658333333333335
114,11200114,4.662133333333333
115,11200115,3.7074999999999996
116,11200118,4.08768115942029
117,11200122,3.9702439024390244
118,11215101,3.5816339066339062
119,11215102,4.449491525423729
120,11215103,4.206087662337662
121,11215104,4.820555555555555
122,11215105,4.401960507757405
123,11215107,5.473661971830986
124,11215109,4.06236641221374
125,11230101,4.852727272727273
126,11230102,4.171497326203209
127,11230103,4.268916666666667
128,11230104,3.2442702702702704
129,11230105,3.403430962343096
130,11230106,4.215209125475285
131,11230107,2.8324242424242425
132,11230108,5.006037735849056
133,11230109,3.897424242424243
134,11230110,3.757559523809524
135,11260101,3.7190252293577983
136,11260102,3.881630434782609
137,11260103,3.6601027397260273
138,11260104,3.6734782608695653
139,11260105,3.4071893491124263
140,11260106,2.83292220113852
141,11290101,4.0290625
142,11290102,4.66375
143,11290103,4.180909090909091
144,11290104,3.4899999999999998
145,11290105,3.12
146,11290107,3.418333333333333
147,11290108,4.625
148,11290109,4.2309090909090905
149,11290110,7.045
150,11290111,3.865813953488372
151,11290112,4.4376
152,11290113,2.683076923076923
153,11290114,3.4936842105263155
154,11290115,4.1510869565217385
155,11290116,5.38
156,11290117,4.596500000000001
157,11290118,3.980697674418605
158,11290119,4.268
159,11290120,4.154615384615385
160,11290121,4.8025
161,11290122,3.8777777777777778
162,11290123,3.761290322580645
163,11290124,3.6237500000000002
164,11290125,5.108076923076923
165,11290126,5.058333333333334
166,11290127,4.0736842105263165
167,11290128,5.425652173913043
168,11290129,3.9074999999999998
169,11290130,2.2183333333333333
170,11290131,4.083913043478261
171,11290132,4.018
172,11290133,3.68311320754717
173,11290134,1.4313815789473683
174,11290135,3.231129032258065
175,11290136,3.2545299145299147
176,11290137,3.91075
177,11290138,2.711023166023166
178,11290139,2.902982456140351
179,11305101,3.012158894645941
180,11305102,3.879732142857143
181,11305103,3.7408982035928147
182,11305104,3.565853658536585
183,11320105,3.682213930348259
184,11320106,3.113639240506329
185,11320107,4.036078431372549
186,11320108,3.319951219512195
187,11350102,3.726279761904762
188,11350103,3.979665551839465
189,11350104,4.612592592592593
190,11350105,3.5963293985385048
191,11350106,4.397013463892289
192,11380101,2.5760869565217392
193,11380102,3.206208178438662
194,11380103,2.9944810126582277
195,11380104,3.2535000000000003
196,11380105,3.2708943089430895
197,11380106,3.8653500000000003
198,11380107,2.8816891891891894
199,11380108,3.6073040752351098
200,11380109,3.3292376681614346
201,11380110,2.345904255319149
202,11380114,1.6470562770562769
203,11410101,7.365
204,11410102,5.668264462809917
205,11410103,7.851428571428571
206,11410104,4.386
207,11410105,3.825
208,11410106,3.5351612903225806
209,11410107,3.4491666666666667
210,11410108,4.903333333333333
211,11410110,2.70075
212,11410111,3.145577689243028
213,11410112,6.355384615384616
214,11410113,4.57
215,11410114,5.73
216,11410115,5.91
217,11410116,5.362631578947369
218,11410117,4.414540229885057
219,11410118,3.1946706586826346
220,11410119,3.513070539419087
221,11410120,3.0976296296296297
222,11440101,4.38320987654321
223,11440102,4.1884146341463415
224,11440103,4.8723809523809525
225,11440104,6.429134615384616
226,11440105,3.755806451612903
227,11440107,4.826666666666667
228,11440108,3.8235897435897437
229,11440109,4.1732894736842105
230,11440110,5.937761194029851
231,11440111,4.657068965517242
232,11440112,2.978695652173913
233,11440113,2.8666666666666667
234,11440114,5.261052631578948
235,11440115,4.548414634146342
236,11440118,5.077857142857143
237,11440120,5.121659574468085
238,11440121,6.190681818181818
239,11440122,4.659202898550725
240,11440123,4.896516290726817
241,11440124,5.135963302752294
242,11440125,4.535191815856778
243,11440126,4.025333333333333
244,11440127,1.694416135881104
245,11470101,2.7968523316062175
246,11470102,4.279325842696629
247,11470103,3.151679389312977
248,11500101,5.006774193548387
249,11500102,4.950065789473684
250,11500103,3.754149108589951
251,11500104,4.498135048231512
252,11500105,3.9005263157894734
253,11500106,1.9413947990543736
254,11500107,2.0
255,11500108,3.4729533678756477
256,11500109,4.279438202247191
257,11500110,2.4575
258,11530101,5.5744444444444445
259,11530102,4.335920205920206
260,11530103,3.486530612244898
261,11530106,2.9738207547169813
262,11530107,3.176296296296296
263,11530108,2.5754920634920633
264,11530109,3.5924285714285715
265,11530110,3.809375
266,11530111,1.6472900763358778
267,11530112,4.04
268,11545101,4.045
269,11545102,3.6082829888712245
270,11545103,3.427578947368421
271,11560101,4.182075471698114
272,11560102,8.655000000000001
273,11560103,4.71
274,11560104,6.354375
275,11560105,5.0
276,11560106,3.81
277,11560107,7.195
278,11560108,6.104375
279,11560109,7.202857142857143
280,11560110,6.317435897435898
281,11560111,4.0008333333333335
282,11560112,4.519166666666666
283,11560113,4.9535
284,11560114,6.135625
285,11560115,4.339
286,11560116,4.718372093023256
287,11560117,3.675
288,11560118,4.4099545454545455
289,11560120,3.5366666666666666
290,11560121,6.666666666666667
291,11560124,6.089333333333333
292,11560125,3.9734615384615384
293,11560126,4.7700000000000005
294,11560127,4.54764705882353
295,11560128,5.072051282051282
296,11560129,6.956
