,index,법정동코드,평당가(만원)
129,129,11200105,7.182451127819549
130,130,11200106,7.090385674931129
131,131,11200107,6.795227568270481
132,132,11200108,3.6681632653061227
133,133,11200109,3.3414423076923074
134,134,11200110,4.4077049180327865
135,135,11200111,4.035395683453237
136,136,11200112,4.578705882352941
137,137,11200113,4.139722222222222
138,138,11200114,6.492318840579711
139,139,11200115,6.060025974025974
140,140,11200118,5.403324250681199
141,141,11200122,5.829699367088607
142,142,11215101,5.31181460428509
143,143,11215102,6.140928882438317
144,144,11215103,5.974505102040816
145,145,11215104,5.662805755395683
146,146,11215105,6.265466448445172
147,147,11215107,8.98046267496112
148,148,11215109,6.396310794780546
149,149,11230101,9.422627450980393
150,150,11230102,7.059767911200807
151,151,11230103,7.601074589127686
152,152,11230104,5.542503022974606
153,153,11230105,6.861267482517483
154,154,11230106,6.163073217726398
155,155,11230107,4.788941605839416
156,156,11230108,8.512435643564356
157,157,11230109,7.301952247191011
158,158,11230110,6.8062588028169015
159,159,11260101,4.7583419689119175
160,160,11260102,6.049230769230769
161,161,11260103,4.739345692475463
162,162,11260104,5.368229613733905
163,163,11260105,4.430141414141414
164,164,11260106,3.043998161764706
165,165,11290101,4.9249494949494945
166,166,11290102,7.062127659574468
167,167,11290103,3.8351075268817207
168,168,11290104,5.326969696969697
169,169,11290105,3.8316666666666666
170,170,11290106,8.605
171,171,11290107,6.540232558139535
172,172,11290108,15.81090909090909
173,173,11290109,7.818070175438597
174,174,11290110,6.644666666666667
175,175,11290111,5.010082644628099
176,176,11290112,6.517282608695653
177,177,11290113,3.4742307692307692
178,178,11290114,6.197555555555555
179,179,11290115,5.941022727272727
180,180,11290116,8.751666666666667
181,181,11290117,6.449554140127389
182,182,11290118,6.337899999999999
183,183,11290119,6.952636363636364
184,184,11290120,5.817246376811594
185,185,11290121,6.405588235294118
186,186,11290122,6.020352112676056
187,187,11290123,5.141764705882353
188,188,11290124,5.0625
189,189,11290125,8.318519736842106
190,190,11290126,4.947857142857143
191,191,11290127,4.777096774193549
192,192,11290128,4.88031914893617
193,193,11290129,7.607222222222223
194,194,11290130,4.700344827586207
195,195,11290131,6.2624812030075185
196,196,11290132,4.53625
197,197,11290133,5.811489711934156
198,198,11290134,2.403960396039604
199,199,11290135,5.77
200,200,11290136,6.208118081180812
201,201,11290137,6.045032258064516
202,202,11290138,3.8833687566418704
203,203,11290139,4.401321739130435
204,204,11305101,4.295434782608696
205,205,11305102,4.903900709219858
206,206,11305103,6.521276171485543
207,207,11305104,4.693673469387755
208,208,11320105,4.483106125970664
209,209,11320106,5.065587606837608
210,210,11320107,4.886402730375426
211,211,11320108,4.711222030981067
212,212,11350102,4.803100848256362
213,213,11350103,6.294665718349928
214,214,11350104,4.869551777434312
215,215,11350105,4.070846432889964
216,216,11350106,4.267325141776937
217,217,11380101,2.831648936170213
218,218,11380102,4.897370078740157
219,219,11380103,4.408802456499488
220,220,11380104,4.330549828178694
221,221,11380105,4.615215053763441
222,222,11380106,6.428685636856368
223,223,11380107,4.479993256911666
224,224,11380108,5.0421219822109276
225,225,11380109,4.423854545454545
226,226,11380110,3.629386281588448
227,227,11380114,6.265838235294118
228,228,11410101,6.778970588235294
229,229,11410102,6.282239467849224
230,230,11410103,7.4903571428571425
231,231,11410104,4.4478124999999995
232,232,11410105,5.1328571428571435
233,233,11410106,5.236588235294118
234,234,11410107,5.793571428571429
235,235,11410108,5.6691666666666665
236,236,11410109,1.875
237,237,11410110,4.639950248756219
238,238,11410111,3.9585245901639343
239,239,11410112,12.95316758747698
240,240,11410113,7.4677976190476185
241,241,11410114,8.259714285714285
242,242,11410115,7.0377777777777775
243,243,11410116,8.355958149779736
